,referenceTime,sourceId
107,2020-12-01T00:00:00.000Z,SN13750:0
108,2020-12-01T00:00:00.000Z,SN19923:0
109,2020-12-01T00:00:00.000Z,SN54330:0
110,2020-12-01T00:00:00.000Z,SN52930:0
111,2020-12-01T00:00:00.000Z,SN46300:0
112,2020-12-01T00:00:00.000Z,SN88010:0
113,2020-12-01T00:00:00.000Z,SN19815:0
114,2020-12-01T00:00:00.000Z,SN90630:0
115,2020-12-25T00:00:00.000Z,SN47170:0
116,2020-12-01T00:00:00.000Z,SN27271:0
117,2020-12-01T00:00:00.000Z,SN26840:0
118,2020-12-01T00:00:00.000Z,SN47610:0
119,2020-12-01T00:00:00.000Z,SN79720:0
120,2020-12-01T00:00:00.000Z,SN8780:0
121,2020-12-01T00:00:00.000Z,SN12180:0
122,2020-12-01T00:00:00.000Z,SN68290:0
123,2020-12-01T00:00:00.000Z,SN90495:0
124,2020-12-01T00:00:00.000Z,SN33300:0
125,2020-12-01T00:00:00.000Z,SN66630:0
126,2020-12-01T00:00:00.000Z,SN27800:0
127,2020-12-01T00:00:00.000Z,SN18245:0
128,2020-12-01T00:00:00.000Z,SN77280:0
129,2020-12-01T00:00:00.000Z,SN27540:0
130,2020-12-01T00:00:00.000Z,SN56250:0
131,2020-12-01T00:00:00.000Z,SN19510:0
132,2020-12-01T00:00:00.000Z,SN26894:0
133,2020-12-01T00:00:00.000Z,SN55290:0
134,2020-12-01T00:00:00.000Z,SN50526:0
135,2020-12-01T00:00:00.000Z,SN19932:0
136,2020-12-19T00:00:00.000Z,SN39212:0
137,2020-12-01T00:00:00.000Z,SN26230:0
138,2020-12-01T00:00:00.000Z,SN27450:0
139,2020-12-01T00:00:00.000Z,SN76930:0
140,2020-12-01T00:00:00.000Z,SN98265:0
141,2020-12-01T00:00:00.000Z,SN63580:0
142,2020-12-01T00:00:00.000Z,SN58780:0
143,2020-12-01T00:00:00.000Z,SN55550:0
144,2020-12-01T00:00:00.000Z,SN42720:0
145,2020-12-01T00:00:00.000Z,SN97251:0
146,2020-12-01T00:00:00.000Z,SN83300:0
147,2020-12-01T00:00:00.000Z,SN85480:0
148,2020-12-01T00:00:00.000Z,SN97350:0
149,2020-12-01T00:00:00.000Z,SN88100:0
150,2020-12-01T00:00:00.000Z,SN57150:0
151,2020-12-01T00:00:00.000Z,SN34370:0
152,2020-12-01T00:00:00.000Z,SN73550:0
153,2020-12-01T00:00:00.000Z,SN27435:0
154,2020-12-01T00:00:00.000Z,SN19405:0
155,2020-12-01T00:00:00.000Z,SN67270:0
156,2020-12-01T00:00:00.000Z,SN27130:0
157,2020-12-01T00:00:00.000Z,SN96850:0
158,2020-12-01T00:00:00.000Z,SN57365:0
159,2020-12-01T00:00:00.000Z,SN13125:0
160,2020-12-01T00:00:00.000Z,SN96931:0
161,2020-12-01T00:00:00.000Z,SN46150:0
162,2020-12-01T00:00:00.000Z,SN8720:0
163,2020-12-01T00:00:00.000Z,SN68230:0
164,2020-12-01T00:00:00.000Z,SN29400:0
165,2020-12-01T00:00:00.000Z,SN30270:0
166,2020-12-01T00:00:00.000Z,SN80880:0
167,2020-12-01T00:00:00.000Z,SN70850:0
168,2020-12-01T00:00:00.000Z,SN91530:0
169,2020-12-01T00:00:00.000Z,SN42490:0
170,2020-12-19T00:00:00.000Z,SN48070:0
171,2020-12-01T00:00:00.000Z,SN19710:0
172,2020-12-01T00:00:00.000Z,SN69190:0
173,2020-12-01T00:00:00.000Z,SN1650:0
174,2020-12-01T00:00:00.000Z,SN43010:0
175,2020-12-01T00:00:00.000Z,SN89233:0
176,2020-12-01T00:00:00.000Z,SN81930:0
177,2020-12-01T00:00:00.000Z,SN91180:0
178,2020-12-01T00:00:00.000Z,SN16265:0
179,2020-12-01T00:00:00.000Z,SN48061:0
180,2020-12-01T00:00:00.000Z,SN9303:0
181,2020-12-01T00:00:00.000Z,SN3480:0
182,2020-12-01T00:00:00.000Z,SN26780:0
183,2020-12-01T00:00:00.000Z,SN59680:0
184,2020-12-01T00:00:00.000Z,SN45675:0
185,2020-12-01T00:00:00.000Z,SN78350:0
186,2020-12-01T00:00:00.000Z,SN41090:0
187,2020-12-01T00:00:00.000Z,SN3005:0
188,2020-12-01T00:00:00.000Z,SN60640:0
189,2020-12-01T00:00:00.000Z,SN92750:0
190,2020-12-01T00:00:00.000Z,SN44562:0
191,2020-12-01T00:00:00.000Z,SN23550:0
192,2020-12-01T00:00:00.000Z,SN26852:0
193,2020-12-01T00:00:00.000Z,SN53480:0
194,2020-12-01T00:00:00.000Z,SN46850:0
195,2020-12-01T00:00:00.000Z,SN30288:0
196,2020-12-01T00:00:00.000Z,SN30261:0
197,2020-12-01T00:00:00.000Z,SN32540:0
198,2020-12-01T00:00:00.000Z,SN25165:0
