,DATE,PRISOMRÅDE,VOLUM_KWH
144,2020-10-06,NO5,102604921.49
145,2020-10-07,NO1,66387264.299
146,2020-10-07,NO2,146994200.403
147,2020-10-07,NO3,67860220.828
148,2020-10-07,NO4,58877717.043
149,2020-10-07,NO5,106843446.355
150,2020-10-08,NO1,65101278.936000004
151,2020-10-08,NO2,154737320.096
152,2020-10-08,NO3,62879579.985999994
153,2020-10-08,NO4,60987084.231
154,2020-10-08,NO5,108952560.675
155,2020-10-09,NO1,66436950.26
156,2020-10-09,NO2,162689117.015
157,2020-10-09,NO3,63303826.175
158,2020-10-09,NO4,62300364.61
159,2020-10-09,NO5,108641736.893
160,2020-10-10,NO1,66954339.293
161,2020-10-10,NO2,156771453.492
162,2020-10-10,NO3,62739717.617
163,2020-10-10,NO4,60604540.936
164,2020-10-10,NO5,92148059.078
165,2020-10-11,NO1,69628206.597
166,2020-10-11,NO2,153818994.837
167,2020-10-11,NO3,70403231.023
168,2020-10-11,NO4,62265109.676
169,2020-10-11,NO5,95201036.919
170,2020-10-12,NO1,64084326.173
171,2020-10-12,NO2,163723955.529
172,2020-10-12,NO3,62558811.526
173,2020-10-12,NO4,68248768.399
174,2020-10-12,NO5,107697337.773
175,2020-10-13,NO1,64449238.564
176,2020-10-13,NO2,151666970.621
177,2020-10-13,NO3,56162315.441
178,2020-10-13,NO4,68992841.504
179,2020-10-13,NO5,98037935.047
180,2020-10-14,NO1,63747933.536
181,2020-10-14,NO2,145989742.88
182,2020-10-14,NO3,54791712.364
183,2020-10-14,NO4,68947517.503
184,2020-10-14,NO5,102742531.656
185,2020-10-15,NO1,66090255.994
186,2020-10-15,NO2,153396685.182
187,2020-10-15,NO3,57891067.683
188,2020-10-15,NO4,69835795.917
189,2020-10-15,NO5,108652304.251
190,2020-10-16,NO1,67347906.575
191,2020-10-16,NO2,176289383.551
192,2020-10-16,NO3,58407619.399
193,2020-10-16,NO4,69739283.249
194,2020-10-16,NO5,113426456.369
195,2020-10-17,NO1,63638949.486
196,2020-10-17,NO2,149340297.028
197,2020-10-17,NO3,61768691.903
198,2020-10-17,NO4,66492679.145
199,2020-10-17,NO5,100297712.199
200,2020-10-18,NO1,61128375.643
201,2020-10-18,NO2,130213912.86299999
202,2020-10-18,NO3,58048684.96
203,2020-10-18,NO4,68448423.45
204,2020-10-18,NO5,82920696.308
205,2020-10-19,NO1,62539993.36
206,2020-10-19,NO2,177925720.271
207,2020-10-19,NO3,65201779.104
208,2020-10-19,NO4,75669069.348
209,2020-10-19,NO5,113198349.715
210,2020-10-20,NO1,60215814.162
211,2020-10-20,NO2,190474637.52199998
212,2020-10-20,NO3,77381412.881
213,2020-10-20,NO4,77643148.39
214,2020-10-20,NO5,101031385.601
215,2020-10-21,NO1,57783975.53
216,2020-10-21,NO2,183861350.31
217,2020-10-21,NO3,64536699.684
218,2020-10-21,NO4,76326071.181
219,2020-10-21,NO5,102479630.146
220,2020-10-22,NO1,55197428.413
221,2020-10-22,NO2,172168804.011
222,2020-10-22,NO3,55956662.922
223,2020-10-22,NO4,76111511.933
224,2020-10-22,NO5,92811562.218
225,2020-10-23,NO1,60822009.858
226,2020-10-23,NO2,187952999.394
227,2020-10-23,NO3,56045944.515
228,2020-10-23,NO4,80777838.831
229,2020-10-23,NO5,105922975.482
230,2020-10-24,NO1,58989189.347
231,2020-10-24,NO2,174881583.073
232,2020-10-24,NO3,61466215.932
233,2020-10-24,NO4,85812693.682
234,2020-10-24,NO5,96129028.794
235,2020-10-25,NO1,57976882.228
236,2020-10-25,NO2,137709871.383
237,2020-10-25,NO3,54768630.439
238,2020-10-25,NO4,61723447.621
239,2020-10-25,NO5,67747110.096
240,2020-10-26,NO1,60636549.015
241,2020-10-26,NO2,178656238.109
242,2020-10-26,NO3,59727986.317
243,2020-10-26,NO4,77162859.993
244,2020-10-26,NO5,98517310.723
245,2020-10-27,NO1,63840086.191
246,2020-10-27,NO2,161101131.992
247,2020-10-27,NO3,46027319.931
248,2020-10-27,NO4,71773770.858
249,2020-10-27,NO5,77421852.888
250,2020-10-28,NO1,63630660.978
251,2020-10-28,NO2,163001517.82
252,2020-10-28,NO3,43906525.168
253,2020-10-28,NO4,68763196.593
254,2020-10-28,NO5,69927195.571
255,2020-10-29,NO1,68265003.934
256,2020-10-29,NO2,178080768.931
257,2020-10-29,NO3,53666651.537
258,2020-10-29,NO4,75483296.477
259,2020-10-29,NO5,89533831.991
260,2020-10-30,NO1,73245371.596
261,2020-10-30,NO2,200261861.51500002
262,2020-10-30,NO3,65146030.433
263,2020-10-30,NO4,74354277.78
264,2020-10-30,NO5,88718984.676
265,2020-10-31,NO1,69581676.725
266,2020-10-31,NO2,186119536.12
267,2020-10-31,NO3,61984582.264
268,2020-10-31,NO4,68362933.4
269,2020-10-31,NO5,78661230.464
270,2020-11-01,NO1,63442436.839
271,2020-11-01,NO2,138434779.92
272,2020-11-01,NO3,53425173.154
273,2020-11-01,NO4,45244636.313
274,2020-11-01,NO5,49793579.063
275,2020-11-02,NO1,62654729.755
276,2020-11-02,NO2,137034698.938
277,2020-11-02,NO3,50677960.181
278,2020-11-02,NO4,43387329.988
279,2020-11-02,NO5,47282467.195999995
280,2020-11-03,NO1,66640001.489
281,2020-11-03,NO2,173725600.723
282,2020-11-03,NO3,68614318.11
283,2020-11-03,NO4,55802071.735
284,2020-11-03,NO5,62390375.874
285,2020-11-04,NO1,69063638.153
286,2020-11-04,NO2,182986741.243
287,2020-11-04,NO3,65209944.305
288,2020-11-04,NO4,46952565.781
289,2020-11-04,NO5,66793411.137
290,2020-11-05,NO1,65483400.113
291,2020-11-05,NO2,172230461.652
292,2020-11-05,NO3,62911533.093
293,2020-11-05,NO4,42092369.184
294,2020-11-05,NO5,56521206.95
295,2020-11-06,NO1,67114255.058
296,2020-11-06,NO2,181580134.465
297,2020-11-06,NO3,62005146.258
298,2020-11-06,NO4,45406118.243
299,2020-11-06,NO5,68953067.625
300,2020-11-07,NO1,63352999.915
301,2020-11-07,NO2,172370147.09
302,2020-11-07,NO3,52620986.388
303,2020-11-07,NO4,52570629.13
304,2020-11-07,NO5,80284756.591
305,2020-11-08,NO1,65153075.727
306,2020-11-08,NO2,187089288.929
307,2020-11-08,NO3,54011956.647
308,2020-11-08,NO4,56665219.904
309,2020-11-08,NO5,87309879.51799999
310,2020-11-09,NO1,63363260.567
311,2020-11-09,NO2,189040376.419
312,2020-11-09,NO3,56572342.382
313,2020-11-09,NO4,66322173.189
314,2020-11-09,NO5,91684766.84899999
315,2020-11-10,NO1,64366189.946
316,2020-11-10,NO2,182181636.743
317,2020-11-10,NO3,71438460.835
318,2020-11-10,NO4,83925965.352
319,2020-11-10,NO5,101391329.176
320,2020-11-11,NO1,67988711.286
321,2020-11-11,NO2,172113070.07
322,2020-11-11,NO3,78551355.571
323,2020-11-11,NO4,77568465.937
324,2020-11-11,NO5,98622167.96
325,2020-11-12,NO1,66131069.71
326,2020-11-12,NO2,187400241.598
327,2020-11-12,NO3,73246225.54100001
328,2020-11-12,NO4,63693536.629
329,2020-11-12,NO5,84483333.517
330,2020-11-13,NO1,59723699.923
331,2020-11-13,NO2,193405033.137
332,2020-11-13,NO3,66985068.771
333,2020-11-13,NO4,51751606.583000004
334,2020-11-13,NO5,66495603.817
335,2020-11-14,NO1,56939298.171
336,2020-11-14,NO2,181902269.018
337,2020-11-14,NO3,47159868.594
338,2020-11-14,NO4,51064390.583
339,2020-11-14,NO5,66190863.198
340,2020-11-15,NO1,58795538.061000004
341,2020-11-15,NO2,156709910.231
342,2020-11-15,NO3,48032145.52
343,2020-11-15,NO4,41213103.712
344,2020-11-15,NO5,52600846.791
345,2020-11-16,NO1,63211428.212
346,2020-11-16,NO2,176467775.146
347,2020-11-16,NO3,50759187.771
348,2020-11-16,NO4,40694990.244
349,2020-11-16,NO5,61212361.675
350,2020-11-17,NO1,66589390.0
351,2020-11-17,NO2,162806016.982
352,2020-11-17,NO3,59428084.086
353,2020-11-17,NO4,46858716.511
354,2020-11-17,NO5,73503943.992
355,2020-11-18,NO1,65284956.775
356,2020-11-18,NO2,141013730.775
357,2020-11-18,NO3,57358154.466
358,2020-11-18,NO4,52240352.875
359,2020-11-18,NO5,75431841.592
360,2020-11-19,NO1,67332671.757
