,DATE,PRISOMRÅDE,VOLUM_KWH,ANTALL_MÅLEPUNKT
110,2021-01-22,NO1,125578711.41,30737758.0
111,2021-01-22,NO2,117101172.031,19028458.0
112,2021-01-22,NO3,84928087.969,12453069.0
113,2021-01-22,NO4,61428296.369,7928588.0
114,2021-01-22,NO5,52054668.289,7704193.0
115,2021-01-23,NO1,117150558.758,30737717.0
116,2021-01-23,NO2,111625779.307,19028134.0
117,2021-01-23,NO3,82963041.124,12452999.0
118,2021-01-23,NO4,59429686.63,7928483.0
119,2021-01-23,NO5,51314224.251,7704218.0
120,2021-01-24,NO1,121715153.775,30737901.0
121,2021-01-24,NO2,115615931.088,19028118.0
122,2021-01-24,NO3,81995460.751,12452973.0
123,2021-01-24,NO4,58387600.96,7928205.0
124,2021-01-24,NO5,48430871.769999996,7704323.0
125,2021-01-25,NO1,142135843.7,30739522.0
126,2021-01-25,NO2,126634001.901,19028827.0
127,2021-01-25,NO3,88063952.966,12452917.0
128,2021-01-25,NO4,61319141.044,7928701.0
129,2021-01-25,NO5,56293136.23,7705664.0
130,2021-01-26,NO1,151457415.592,30740373.0
131,2021-01-26,NO2,130052350.854,19029313.0
132,2021-01-26,NO3,86969807.617,12453226.0
133,2021-01-26,NO4,60748621.406,7929013.0
134,2021-01-26,NO5,56600455.432,7705329.0
135,2021-01-27,NO1,154888436.047,30742073.0
136,2021-01-27,NO2,131646179.575,19030476.0
137,2021-01-27,NO3,89582480.21,12453447.0
138,2021-01-27,NO4,60365351.334,7929319.0
139,2021-01-27,NO5,58349677.264,7706117.0
140,2021-01-28,NO1,157350404.406,30744752.0
141,2021-01-28,NO2,134260433.12,19031335.0
142,2021-01-28,NO3,88379840.872,12453246.0
143,2021-01-28,NO4,60177917.006,7929477.0
144,2021-01-28,NO5,59599682.29,7706807.0
145,2021-01-29,NO1,160537904.4,30746590.0
146,2021-01-29,NO2,134363774.413,19032027.0
147,2021-01-29,NO3,90588684.38599999,12453373.0
148,2021-01-29,NO4,62126057.782,7929404.0
149,2021-01-29,NO5,58172556.675,7707335.0
150,2021-01-30,NO1,153018993.339,30746546.0
151,2021-01-30,NO2,127858182.297,19031539.0
152,2021-01-30,NO3,86828176.979,12453116.0
153,2021-01-30,NO4,59443740.07,7929308.0
154,2021-01-30,NO5,55417787.797,7707312.0
155,2021-01-31,NO1,151018474.99,30746708.0
156,2021-01-31,NO2,125471695.883,19031431.0
157,2021-01-31,NO3,85610174.092,12453049.0
158,2021-01-31,NO4,58589363.478,7929223.0
159,2021-01-31,NO5,54659967.422,7707329.0
160,2021-02-01,NO1,159816277.889,30749468.0
161,2021-02-01,NO2,130305846.623,19031645.0
162,2021-02-01,NO3,90688752.653,12453645.0
163,2021-02-01,NO4,60087146.39,7929387.0
164,2021-02-01,NO5,58413292.737,7707741.0
165,2021-02-02,NO1,158528627.634,30751725.0
166,2021-02-02,NO2,133772984.952,19032890.0
167,2021-02-02,NO3,94133581.529,12454148.0
168,2021-02-02,NO4,60449290.017,7929458.0
169,2021-02-02,NO5,59210364.504,7708278.0
170,2021-02-03,NO1,156459969.919,30755044.0
171,2021-02-03,NO2,134706103.598,19033513.0
172,2021-02-03,NO3,96942546.293,12454613.0
173,2021-02-03,NO4,60958319.401,7929503.0
174,2021-02-03,NO5,60101919.362,7709568.0
175,2021-02-04,NO1,162644793.589,30756833.0
176,2021-02-04,NO2,138464617.66,19034099.0
177,2021-02-04,NO3,99764258.178,12454743.0
178,2021-02-04,NO4,59176031.887,7929497.0
179,2021-02-04,NO5,60669824.162,7710699.0
180,2021-02-05,NO1,160660281.152,30757775.0
181,2021-02-05,NO2,138502704.342,19034345.0
182,2021-02-05,NO3,98895979.412,12455080.0
183,2021-02-05,NO4,57716657.987,7929884.0
184,2021-02-05,NO5,60804640.229,7711320.0
185,2021-02-06,NO1,150803180.844,30757751.0
186,2021-02-06,NO2,131876840.556,19034179.0
187,2021-02-06,NO3,94412882.916,12454893.0
188,2021-02-06,NO4,55496475.129,7929789.0
189,2021-02-06,NO5,58773578.88,7711320.0
190,2021-02-07,NO1,149778989.231,30757825.0
191,2021-02-07,NO2,131445079.872,19034078.0
192,2021-02-07,NO3,93204440.631,12454825.0
193,2021-02-07,NO4,54527117.286,7929725.0
194,2021-02-07,NO5,58639092.835,7711330.0
195,2021-02-08,NO1,156146668.515,30760139.0
196,2021-02-08,NO2,136971992.813,19034457.0
197,2021-02-08,NO3,98203173.622,12454860.0
198,2021-02-08,NO4,57547295.597,7929843.0
199,2021-02-08,NO5,60607326.399,7711603.0
200,2021-02-09,NO1,155131238.633,30762112.0
201,2021-02-09,NO2,136895891.499,19035791.0
202,2021-02-09,NO3,97041740.42,12455132.0
203,2021-02-09,NO4,59009045.845,7929917.0
204,2021-02-09,NO5,60089509.431,7712619.0
205,2021-02-10,NO1,158565988.26,30763675.0
206,2021-02-10,NO2,138468663.81,19036345.0
207,2021-02-10,NO3,95555240.238,12455076.0
208,2021-02-10,NO4,60192947.232,7930054.0
209,2021-02-10,NO5,60689667.941,7713278.0
210,2021-02-11,NO1,160073493.788,30765831.0
211,2021-02-11,NO2,137401665.115,19037000.0
212,2021-02-11,NO3,100103337.445,12455922.0
213,2021-02-11,NO4,58751988.598,7930573.0
214,2021-02-11,NO5,59954994.294,7714169.0
215,2021-02-12,NO1,160839634.825,30767280.0
216,2021-02-12,NO2,138104240.284,19038832.0
217,2021-02-12,NO3,99332855.185,12456327.0
218,2021-02-12,NO4,56985901.694,7930870.0
219,2021-02-12,NO5,60807904.04,7714557.0
220,2021-02-13,NO1,153528917.197,30767281.0
221,2021-02-13,NO2,130892048.90799999,19038645.0
222,2021-02-13,NO3,92670686.529,12456115.0
223,2021-02-13,NO4,54964271.675,7930822.0
224,2021-02-13,NO5,56661422.749,7714487.0
