,DATE,PRISOMRÅDE,FORBRUK_KWH,ANTALL_MÅLEPUNKT,PRODUKSJON_KWH,NETTO_PRODUKSJON_KWH
70,2021-01-14,NO1,151781579.637,30732115.0,65236181.151,-86545398.486
71,2021-01-14,NO2,131722151.508,19025084.0,202029341.546,70307190.038
72,2021-01-14,NO3,96645619.028,12451555.0,73440083.949,-23205535.078999996
73,2021-01-14,NO4,58760647.385,7927994.0,98049569.453,39288922.067999996
74,2021-01-14,NO5,59335449.745,7699997.0,139489420.722,80153970.977
75,2021-01-15,NO1,157405575.86,30733656.0,68112533.323,-89293042.53700002
76,2021-01-15,NO2,134731319.703,19025540.0,209459035.13,74727715.42699999
77,2021-01-15,NO3,95789451.48,12451433.0,61638980.85,-34150470.63
78,2021-01-15,NO4,55263283.821,7928036.0,87956812.48099999,32693528.65999999
79,2021-01-15,NO5,59971165.618,7700665.0,155725197.931,95754032.313
80,2021-01-16,NO1,153160916.998,30733662.0,66455601.579,-86705315.419
81,2021-01-16,NO2,130248094.634,19025448.0,220330036.78,90081942.146
82,2021-01-16,NO3,91450185.605,12451268.0,83061773.501,-8388412.104000002
83,2021-01-16,NO4,51576347.453,7927943.0,93230903.474,41654556.021000005
84,2021-01-16,NO5,57610715.795,7700688.0,148637949.474,91027233.679
85,2021-01-17,NO1,145985362.568,30733831.0,65673872.226,-80311490.34199998
86,2021-01-17,NO2,124365795.426,19025468.0,213985403.883,89619608.45699999
87,2021-01-17,NO3,89372539.632,12451201.0,77949756.833,-11422782.798999995
88,2021-01-17,NO4,53258198.126,7927932.0,95156821.894,41898623.76799999
89,2021-01-17,NO5,54902304.931,7700739.0,143428873.022,88526568.09100002
90,2021-01-18,NO1,149450275.505,30734544.0,63746623.23,-85703652.275
91,2021-01-18,NO2,125735350.257,19025965.0,204414231.944,78678881.687
92,2021-01-18,NO3,91076198.536,12451791.0,87230365.962,-3845832.574000001
93,2021-01-18,NO4,57231322.102,7928218.0,99462352.339,42231030.237
94,2021-01-18,NO5,55350201.023,7701935.0,140627434.563,85277233.53999999
95,2021-01-19,NO1,143277440.309,30734614.0,61681403.188,-81596037.12099999
96,2021-01-19,NO2,124211904.931,19026844.0,195147776.455,70935871.52400002
97,2021-01-19,NO3,90063063.853,12452152.0,86070055.604,-3993008.248999998
98,2021-01-19,NO4,58674901.597,7928457.0,103700942.109,45026040.511999995
99,2021-01-19,NO5,54913624.054,7702514.0,125100158.492,70186534.438
100,2021-01-20,NO1,137364550.53,30736249.0,59384215.866,-77980334.664
101,2021-01-20,NO2,122941891.746,19027503.0,187731192.949,64789301.202999994
102,2021-01-20,NO3,89166249.868,12452523.0,83725277.244,-5440972.623999998
103,2021-01-20,NO4,59341302.592,7928662.0,99704136.144,40362833.55199999
104,2021-01-20,NO5,54451466.695,7703661.0,99050042.554,44598575.859000005
